DI,DII,C1,C2,C3,C4,C5,C6,C6',C7,C7',C8,C9,yearMonth,,,,
33.3,0,72.6,54.1,73,102.6,85.1,5.8,5.8,8.8,8.8,63689,0.7,198012,5.8,8.8,0,不景気
38.9,1,72.7,54.2,77.1,103,85.4,6.7,6.7,3.7,3.7,63009,0.7,19811,6.7,3.7,1,好景気
44.4,0,72.4,53.9,73.9,103.1,84.9,2.2,2.2,-1.6,1.6,62329,0.7,19812,2.2,1.6,0,不景気
33.3,1,72.7,53.9,74.9,102.4,84.2,6.5,6.5,7.3,7.3,61649,0.7,19813,6.5,7.3,1,好景気
38.9,0,72.7,54.5,75.2,103.3,85.9,3.9,3.9,0.1,0.1,61162,0.7,19814,3.9,0.1,0,不景気
22.2,0,71.6,53.3,71.3,102.2,84.7,3,3,-0.7,0.7,60674,0.7,19815,3,0.7,0,不景気
55.6,1,73.5,54.3,71.9,103.2,86.7,5.8,5.8,6,6,60187,0.7,19816,5.8,6,1,好景気
77.8,1,73.9,55,74.2,101.9,88.1,8.8,8.8,7.5,7.5,61215,0.7,19817,8.8,7.5,1,好景気
100,0,73.7,54.5,74.5,103.3,87.4,7.1,7.1,7.2,7.2,62243,0.7,19818,7.1,7.2,0,不景気
94.4,1,74.9,55.6,75.7,104.1,87.8,6.3,6.3,10.4,10.4,63271,0.7,19819,6.3,10.4,1,好景気
66.7,1,75.4,55.6,75.9,104.7,88,6.3,6.3,8.8,8.8,64245,0.7,198110,6.3,8.8,1,好景気
72.2,0,75.4,55.4,77.8,103.3,88.5,5.8,5.8,14,14,65219,0.7,198111,5.8,14,0,不景気
55.6,0,75.2,55.1,76,103.8,88.6,6.8,6.8,9.7,9.7,66193,0.7,198112,6.8,9.7,0,不景気
22.2,0,74.7,54.6,76,103,87.7,4.1,4.1,9.2,9.2,65865,0.7,19821,4.1,9.2,0,不景気
0,0,74.2,54.3,74.2,102.5,86.8,3,3,11.7,11.7,65537,0.7,19822,3,11.7,0,不景気
22.2,1,74.9,54.5,76.3,102.1,87.1,2.7,2.7,13.8,13.8,65209,0.6,19823,2.7,13.8,1,好景気
11.1,0,73.8,54,73.9,101.1,84.5,1.2,1.2,9.7,9.7,64044,0.6,19824,1.2,9.7,0,不景気
22.2,0,73.3,53.3,74.3,101.7,84.9,4.4,4.4,8.8,8.8,62878,0.6,19825,4.4,8.8,0,不景気
5.6,1,74.2,54.2,72.8,101,86.6,2.7,2.7,7.5,7.5,61713,0.6,19826,2.7,7.5,1,好景気
44.4,0,73.9,53.6,75.3,101.7,86.1,-0.3,0.3,5.7,5.7,61280,0.6,19827,0.3,5.7,0,不景気
55.6,1,74,53.7,74.9,101.7,86.9,2.5,2.5,7.1,7.1,60847,0.6,19828,2.5,7.1,1,好景気
55.6,1,74.4,54.2,77.6,101.2,89.4,2.6,2.6,6.7,6.7,60414,0.6,19829,2.6,6.7,1,好景気
27.8,0,72.2,52.9,75.9,100.9,84.9,3.1,3.1,4.2,4.2,59768,0.6,198210,3.1,4.2,0,不景気
38.9,1,74,53.4,77.5,101.1,87.9,4,4,4.9,4.9,59122,0.6,198211,4,4.9,1,好景気
0,0,73.4,53.1,75.7,99,88.8,1.8,1.8,4.9,4.9,58476,0.6,198212,1.8,4.9,0,不景気
77.8,1,73.7,53.6,77.8,101.3,85.9,4.2,4.2,1.7,1.7,58517,0.6,19831,4.2,1.7,1,好景気
38.9,0,73.5,53.5,77.8,100.3,87.2,3.4,3.4,1,1,58557,0.6,19832,3.4,1,0,不景気
